route,route_id,origin_destination
1C,1438,CBS TO SECUNDERABAD
1C,1440,SECUNDERABAD TO CBS
1D,1005,CHILKALGUDA TO DILSUKH NAGAR
1DS,1441,MIDANI DEPOT TO SECUNDERABAD
1DS,1442,SECUNDERABAD TO MIDANI DEPOT
1DV,480,NGOS TO RETHI FILE BS
1DV,481,RETHIFILE TO NGOS COLONY
1P/251,788,MSRD 2 TO OLD ALWAL
1P/251,1416,OLD ALWAL TO MSRD 2
1P/25I,722,OLD ALWAL TO MGBS
1P/25I,723,MGBS TO OLDALWAL
1P/25S,1080,SUCHITRA TO KOTI
1P/25S,1081,KOTI TO SUCHITRA
1V,463,NGO COLONY TO RETHIFILE
1V,464,RETHIFILE TO NGOS COLONY
2C,231,BARKAS TO RETHIFILE BUSSTATION
2C,236,RETHIFILE BUSSTATION TO BARKAS
2Z,999,SRIRAM COLONY TO JBS
2Z,1000,JBS TO SRIRAM COLONY
3,1171,AFZULGUNJ TO RAJIVGRUHA KALPA
3,1192,RAJIVGRUHA KALPA TO AFZALGUNJ
3H,1172,AFZULGUNJ TO KUSHAIGUDA
3H,1173,KUSHAIGUDA TO AFZULGUNJ
3HN,1128,AFZULGUNJ TO RAMPALLY
3HN,1195,RAMPALLY TO AFZULGUNJ
3K,1426,KOTI TO KUSHAIGUDA
3K,1427,KUSHAIGUDA TO KOTI
3KN,406,KUSHAIGUDA TO AFZALGUNJ
3KN,407,AFZALGUNJ TO KUSHAIGUDA
5/229,1419,MEDCHAL TO MEHDIPATNAM
5/229,1421,MEHDIPATNAM TO MEDCHAL
5D,1228,DAMMAIGUD TO MEHADIPATTANAM
5K,371,MEHDIPATNAM TO SEUNDERABAD
5K,372,SECUNDERABAD TO MEHDIPATNAM
5K/251,1530,KEYS HIGH SCHOOL TO AIRPORT
5K/251,1531,AIRPORT TO KEYS HIGH SCHOOL
5K/92,997,RAJENDRANAGAR TO SECUNDERABAD
5K/92,1007,SECUNDERABAD TO RAJENDRANAGAR
5M,297,SECUNDERABAD TO MEHDIPATNAM
5M,299,MEHDIPATNAM TO SECUNDERABAD
5M/16M,1063,SECUNDERABAD TO MALKAJGIRI
5M/16M,1064,MEHDIPATNAM TO MALKAJGIRI
5R,212,HAKIMPET DEPOT TO MEHDIPATAM
5R,1082,MEHDIPATNAM TO HAKIMPET DEPOT
5S,1227,MEHADIPATNAM TO DAMMAYIGUDA
6H,1166,ECILXROADS TO TOLICHOWKI
6H,1186,TOLICHOWKI TO ECILXROADS
