route,route_id,origin_destination
10H,151,SECUNDERABAD TO KONDAPUR
10H,152,KONDAPUR TO SECUNDERABAD
10H/17H,131,KONDAPUAR TOECIL X ROAD
10H/W,1255,SECUNDERABAD TO WAVEROCK
10H/W,1257,WAVEROCK TO SECENDRABAD
17H/10H,1554,ECIL X ROADS TO WAVEROCK
17H/10H,1555,WAVEROCK TO ECIL X ROAD
113M/K,2142,UPPAL TO LINGAMPALLY VIA KDP
113M/W,2125,UPPAL TO WAVE ROCK
113M/W,2127,WAVEROCK TO UPPAL
218L,88,LINGAMPALLY TO DILSUKHNAGAR
218L,89,DILSUKHNAGAR TO LINGAMPALLY
222A,15,KOTI TO PATANCHERU
222A,16,PATANCHERU TO KOTI 222A

